ip_away,h_away,r_away,er_away,bb_away,k_away,hr_away,era_away,p_away,s_away,name_away,personId_away,note_away,game_id,ip_home,h_home,r_home,er_home,bb_home,k_home,hr_home,era_home,p_home,s_home,name_home,personId_home,note_home,namefield_away,namefield_home
5.1,7,2,2,0,6,0,4.79,85,56,Elder,693821.0,,745825,0.1,1,1,1,1,0,0,3.68,14,7,Ottavino,493603.0,,Elder,Ottavino
5.1,7,2,2,0,6,0,4.79,85,56,Elder,693821.0,,745825,0.2,0,0,0,1,0,0,3.65,11,4,Diekman,518617.0,,Elder,Diekman
5.1,7,2,2,0,6,0,4.79,85,56,Elder,693821.0,,745825,1.0,0,0,0,0,1,0,2.30,14,11,Díaz,621242.0,"(W, 1-1)",Elder,"Díaz  (W, 1-1)"
1.0,0,0,0,2,2,0,4.15,24,13,Bummer,607481.0,,745825,IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,Bummer,Mets Pitchers
1.0,0,0,0,2,2,0,4.15,24,13,Bummer,607481.0,,745825,5.0,4,2,2,3,4,1,3.00,94,55,"Severino, L",622663.0,,Bummer,"Severino, L"
1.0,0,0,0,2,2,0,4.15,24,13,Bummer,607481.0,,745825,2.0,1,0,0,1,3,0,0.43,27,18,"Garrett, R",657585.0,,Bummer,"Garrett, R"
1.0,0,0,0,2,2,0,4.15,24,13,Bummer,607481.0,,745825,0.1,1,1,1,1,0,0,3.68,14,7,Ottavino,493603.0,,Bummer,Ottavino
1.0,0,0,0,2,2,0,4.15,24,13,Bummer,607481.0,,745825,0.2,0,0,0,1,0,0,3.65,11,4,Diekman,518617.0,,Bummer,Diekman
1.0,0,0,0,2,2,0,4.15,24,13,Bummer,607481.0,,745825,1.0,0,0,0,0,1,0,2.30,14,11,Díaz,621242.0,"(W, 1-1)",Bummer,"Díaz  (W, 1-1)"
1.0,1,0,0,0,0,0,1.26,12,8,Chavez,445926.0,,745825,IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,Chavez,Mets Pitchers
1.0,1,0,0,0,0,0,1.26,12,8,Chavez,445926.0,,745825,5.0,4,2,2,3,4,1,3.00,94,55,"Severino, L",622663.0,,Chavez,"Severino, L"
1.0,1,0,0,0,0,0,1.26,12,8,Chavez,445926.0,,745825,2.0,1,0,0,1,3,0,0.43,27,18,"Garrett, R",657585.0,,Chavez,"Garrett, R"
1.0,1,0,0,0,0,0,1.26,12,8,Chavez,445926.0,,745825,0.1,1,1,1,1,0,0,3.68,14,7,Ottavino,493603.0,,Chavez,Ottavino
1.0,1,0,0,0,0,0,1.26,12,8,Chavez,445926.0,,745825,0.2,0,0,0,1,0,0,3.65,11,4,Diekman,518617.0,,Chavez,Diekman
1.0,1,0,0,0,0,0,1.26,12,8,Chavez,445926.0,,745825,1.0,0,0,0,0,1,0,2.30,14,11,Díaz,621242.0,"(W, 1-1)",Chavez,"Díaz  (W, 1-1)"
0.2,0,0,0,0,1,0,1.40,7,5,"Lee, D",669276.0,"(H, 1)",745825,IP,H,R,ER,BB,K,HR,ERA,P,S,Braves Pitchers,0.0,,"Lee, D  (H, 1)",Mets Pitchers
